Chemin,Motif
C:\yassmine\reports\Financials\UnknownSubsector\Changjiang Security_2023_Report.pdf,Fichier trop petit
"C:\yassmine\reports\Food & Beverage\UnknownSubsector\Ajinomoto Co., Inc._2022_Report.pdf",Fichier non PDF (text/html)
C:\yassmine\reports\Food & Beverage\UnknownSubsector\Almacenes Exito SA_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Food & Beverage\UnknownSubsector\Archer-Daniels-Midland Co_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Food & Beverage\UnknownSubsector\Blue Star Foods Corp_2022_Report.pdf,Fichier trop petit
C:\yassmine\reports\Food & Beverage\UnknownSubsector\Cia Cervecerias Unidas SA_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Food & Beverage\UnknownSubsector\Colombina SA_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Health Care\UnknownSubsector\Aura Smart Air Ltd_2021_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Health Care\UnknownSubsector\BeiGene_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Health Care\UnknownSubsector\Celltrion Inc_2023-2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\407 ETR_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Abu Dhabi National Energy Co PJSC TAQA_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Infrastructure\UnknownSubsector\Acter Group Corp Ltd_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\AGL Energy Ltd_2024_Report.pdf,Fichier non PDF (application/zip)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Alexander's Inc_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\American Tower Corp_2022_Report.pdf,Fichier trop petit
C:\yassmine\reports\Infrastructure\UnknownSubsector\APA Group_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\AtkinsRéalis_2023_Report.pdf,Fichier non PDF (cannot open `C:\yassmine\reports\Infrastructure\UnknownSubsector\AtkinsR\303\251alis_2023_Report.pdf' (No such file or directory))
C:\yassmine\reports\Infrastructure\UnknownSubsector\Atmos Energy Corp_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\AvalonBay_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Ayala Corp_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Biffa PLC_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Boardwalk Real Estate Investment Trust_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\CapitaLand Integrated Commercial Trust_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Centrais Eletricas Brasileiras SA_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Infrastructure\UnknownSubsector\Cleanaway Waste Management Ltd_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Renewable Resources & Alternative Energy\UnknownSubsector\Altri SGPS SA_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Renewable Resources & Alternative Energy\UnknownSubsector\Ballard Power Systems Inc_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Renewable Resources & Alternative Energy\UnknownSubsector\Celulosa Arauco y Constitucion SA_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\3M India Ltd_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Ag Growth International Inc_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Air Liquide SA_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Airbus SE_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Akzo Nobel NV_2021_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\All Ring Tech Co Ltd_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Asahi Kasei Corp_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Badger Meter Inc_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Bombardier Inc_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Bombardier Transport France SAS_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Brambles Ltd Brambles_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Chroma ATE Inc_2023_Report.pdf,Fichier trop petit
C:\yassmine\reports\Resource Transformation\UnknownSubsector\Clariant_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Services\UnknownSubsector\407 International Inc_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Services\UnknownSubsector\ALS Ltd_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Services\UnknownSubsector\Brown & Brown Inc_2023_Report.pdf,Fichier non PDF (text/html)
"C:\yassmine\reports\Services\UnknownSubsector\CBIZ, Inc._2023_Report.pdf",Fichier non PDF (text/html)
C:\yassmine\reports\Services\UnknownSubsector\Corporate Citizenship Ltd_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Activants Pte Ltd_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Akamai Technologies Inc_2022_Report.pdf,Fichier trop petit
C:\yassmine\reports\Technology & Communications\UnknownSubsector\AP Memory Technology Corp_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Avaya Holdings Corp_2021_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\BCE Inc (Bell Canada)_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Beijing eGOVA Co Ltd_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\BenQ Materials Corp_2021_Report.pdf,Fichier trop petit
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Broadcom_2022_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\CACI International Inc_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Capgemini SE_2024_Report.pdf,Fichier non PDF (application/vnd.openxmlformats-officedocument.spreadsheetml.sheet)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Chunghwa Precision Test Tech Co Ltd_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Citrix Systems Inc_nan_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\CleanSpark Inc_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Clevo Co_2023_Report.pdf,Fichier non PDF (text/html)
"C:\yassmine\reports\Technology & Communications\UnknownSubsector\Commvault Systems, Inc_2024_Report.pdf",Fichier non PDF (text/html)
C:\yassmine\reports\Technology & Communications\UnknownSubsector\Cree Inc_2021_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Transportation\UnknownSubsector\AP Moller - Maersk AS_2023_Report.pdf,Fichier non PDF (application/vnd.openxmlformats-officedocument.spreadsheetml.sheet)
C:\yassmine\reports\Transportation\UnknownSubsector\Asiana Airlines Inc_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Transportation\UnknownSubsector\Azul SA_2023_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Transportation\UnknownSubsector\BW LPG Ltd_2024_Report.pdf,Fichier non PDF (text/html)
C:\yassmine\reports\Transportation\UnknownSubsector\CEAT Ltd_2024_Report.pdf,Fichier trop petit
C:\yassmine\reports\Transportation\UnknownSubsector\CJ Logistics Corp_2022_Report.pdf,Fichier non PDF (text/html)
