Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
Fondo Especial Para Financiamientos Agropecuarios,Commercial Banks,Financials,Mexico,Informe de Sostenibilidad,2023,https://www.finagro.com.co/sites/default/files/basic-page/2024-03/Finagro-IGS-2023_0.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.finagro.com.co', port=443): Max retries exceeded with url: /sites/default/files/basic-page/2024-03/Finagro-IGS-2023_0.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3628050>: Failed to resolve 'www.finagro.com.co' ([Errno 11001] getaddrinfo failed)""))"
Fonterra,"Meat, Poultry & Dairy",Food & Beverage,New Zealand,Annual Report,2023,https://view.publitas.com/fonterra/2023-sustainability-report/page/104,SASB,"⚠️ HTTPSConnectionPool(host='view.publitas.com', port=443): Max retries exceeded with url: /fonterra/2023-sustainability-report/page/104 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E359A350>: Failed to resolve 'view.publitas.com' ([Errno 11001] getaddrinfo failed)""))"
Foot Locker Inc,"Apparel, Accessories & Footwear",Consumer Goods,United States,Impact Report,2023,https://investors.footlocker-inc.com/static-files/6a51d02e-eef5-4b42-9ed6-7728df9dcfe4,SASB,"⚠️ HTTPSConnectionPool(host='investors.footlocker-inc.com', port=443): Max retries exceeded with url: /static-files/6a51d02e-eef5-4b42-9ed6-7728df9dcfe4 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3599310>: Failed to resolve 'investors.footlocker-inc.com' ([Errno 11001] getaddrinfo failed)""))"
Foraco International SA,Metals & Mining,Extractives & Minerals Processing,France,ESG Report,2022,https://foraco.com/wp-content/uploads/2023/04/FORACO-ESG-Report-2022.pdf,SASB,"⚠️ HTTPSConnectionPool(host='foraco.com', port=443): Max retries exceeded with url: /wp-content/uploads/2023/04/FORACO-ESG-Report-2022.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E359AF50>: Failed to resolve 'foraco.com' ([Errno 11001] getaddrinfo failed)""))"
Ford Motor Company,Automobiles,Transportation,United States,Sustainability Report,2024,https://corporate.ford.com/content/dam/corporate/us/en-us/documents/reports/2024-integrated-sustainability-and-financial-report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='corporate.ford.com', port=443): Max retries exceeded with url: /content/dam/corporate/us/en-us/documents/reports/2024-integrated-sustainability-and-financial-report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E35999D0>: Failed to resolve 'corporate.ford.com' ([Errno 11001] getaddrinfo failed)""))"
Formosa Advanced Technologies Co Ltd,Semiconductors,Technology & Communications,Taiwan,Sustainability Report,2021,https://www.fatc.com.tw/j2fac/fatc_web/responsibility/res_09_fatc_2021.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fatc.com.tw', port=443): Max retries exceeded with url: /j2fac/fatc_web/responsibility/res_09_fatc_2021.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3623B50>: Failed to resolve 'www.fatc.com.tw' ([Errno 11001] getaddrinfo failed)""))"
Formosa Chemicals & Fibre Corp,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2023,https://www.fcfc.com.tw/pdf/286832/%E5%8F%B0%E5%8C%96%E5%A0%B1%E5%91%8A%E6%9B%B8-0612_compressed-final.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fcfc.com.tw', port=443): Max retries exceeded with url: /pdf/286832/%E5%8F%B0%E5%8C%96%E5%A0%B1%E5%91%8A%E6%9B%B8-0612_compressed-final.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E366BE50>: Failed to resolve 'www.fcfc.com.tw' ([Errno 11001] getaddrinfo failed)""))"
Formosa Petrochemical Corp,Oil & Gas – Refining & Marketing,Extractives & Minerals Processing,Taiwan,Sustainability Report,2021,https://fpcc-esg.com/upload/files/f_220609022212.pdf,SASB,"⚠️ HTTPSConnectionPool(host='fpcc-esg.com', port=443): Max retries exceeded with url: /upload/files/f_220609022212.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E366B550>: Failed to resolve 'fpcc-esg.com' ([Errno 11001] getaddrinfo failed)""))"
Formosa Sumco Technology Corp,Semiconductors,Technology & Communications,Taiwan,Sustainability Report,2021,http://125.227.214.70/english/csr/pdf/FST-2021_Sus.pdf,SASB,"⚠️ HTTPConnectionPool(host='125.227.214.70', port=80): Max retries exceeded with url: /english/csr/pdf/FST-2021_Sus.pdf (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000243E3628590>: Failed to establish a new connection: [WinError 10051] Une opération a été tentée sur un réseau impossible à atteindre'))"
Formosa Taffeta Co Ltd,"Apparel, Accessories & Footwear",Consumer Goods,Taiwan,Sustainability Report,2023,http://www.ftc.com.tw/newftc/files.php?m=respons_report&file=d83bd3fc857ceb784e2bb166541cef8f,SASB,"⚠️ HTTPConnectionPool(host='www.ftc.com.tw', port=80): Max retries exceeded with url: /newftc/files.php?m=respons_report&file=d83bd3fc857ceb784e2bb166541cef8f (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000243E350F890>: Failed to resolve 'www.ftc.com.tw' ([Errno 11001] getaddrinfo failed)""))"
Formosan Union Chemical,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2023,http://www.fucc.com.tw/fucc/index_eg.asp,SASB,"⚠️ HTTPConnectionPool(host='www.fucc.com.tw', port=80): Max retries exceeded with url: /fucc/index_eg.asp (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000243E3622B50>: Failed to resolve 'www.fucc.com.tw' ([Errno 11001] getaddrinfo failed)""))"
Fortaleza Materiales SAB de CV,Construction Materials,Extractives & Minerals Processing,Mexico,Sustainability Report,2023,https://www.fortalezamateriales.com/repositorio/Fortaleza/Informe-anual-2023en.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fortalezamateriales.com', port=443): Max retries exceeded with url: /repositorio/Fortaleza/Informe-anual-2023en.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3693E90>: Failed to resolve 'www.fortalezamateriales.com' ([Errno 11001] getaddrinfo failed)""))"
Forterra PLC,Construction Materials,Extractives & Minerals Processing,United Kingdom,Annual Report,2021,https://www.forterra.co.uk/wp-content/uploads/2022/03/Forterra-Annual-Report-2021-interactive.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.forterra.co.uk', port=443): Max retries exceeded with url: /wp-content/uploads/2022/03/Forterra-Annual-Report-2021-interactive.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E367A1D0>: Failed to resolve 'www.forterra.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Fortinet Inc,Software & IT Services,Technology & Communications,United States,Sustainability Report,2023,https://www.fortinet.com/content/dam/fortinet/assets/reports/fortinet-2023-sustainability-report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.fortinet.com', port=443): Max retries exceeded with url: /content/dam/fortinet/assets/reports/fortinet-2023-sustainability-report.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3647850>: Failed to resolve 'www.fortinet.com' ([Errno 11001] getaddrinfo failed)""))"
Fortis Inc,Electric Utilities & Power Generators,Infrastructure,Canada,SASB Index,2024,https://www.fortisinc.com/docs/default-source/environment-reports/fortis-sasb-cross-reference---final---july-29.pdf?sfvrsn=44927298_3,SASB,"⚠️ HTTPSConnectionPool(host='www.fortisinc.com', port=443): Max retries exceeded with url: /docs/default-source/environment-reports/fortis-sasb-cross-reference---final---july-29.pdf?sfvrsn=44927298_3 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3645450>: Failed to resolve 'www.fortisinc.com' ([Errno 11001] getaddrinfo failed)""))"
Fortive Corp,Electrical & Electronic Equipment,Resource Transformation,United States,Sustainability Report,2023,https://fortive.com/sites/default/files/2024-04/2023-Fortive-Sustainability-Report-Appendix_0.pdf,SASB,"⚠️ HTTPSConnectionPool(host='fortive.com', port=443): Max retries exceeded with url: /sites/default/files/2024-04/2023-Fortive-Sustainability-Report-Appendix_0.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3691FD0>: Failed to resolve 'fortive.com' ([Errno 11001] getaddrinfo failed)""))"
