Sector,Industry,PDF_URL
Renewable Resources & Alternative Energy,Pulp & Paper Products,https://d3flraxduht3gu.cloudfront.net/latest_standards/pulp-and-paper-products-standard_en-gb.pdf
Renewable Resources & Alternative Energy,Solar Technology & Project Developers,https://d3flraxduht3gu.cloudfront.net/latest_standards/solar-technology-and-project-developers-standard_en-gb.pdf
Renewable Resources & Alternative Energy,Wind Technology & Project Developers,https://d3flraxduht3gu.cloudfront.net/latest_standards/wind-technology-and-project-developers-standard_en-gb.pdf
Resource Transformation,Aerospace & Defence,https://d3flraxduht3gu.cloudfront.net/latest_standards/aerospace-and-defence-standard_en-gb.pdf
Resource Transformation,Chemicals,https://d3flraxduht3gu.cloudfront.net/latest_standards/chemicals-standard_en-gb.pdf
Resource Transformation,Containers & Packaging,https://d3flraxduht3gu.cloudfront.net/latest_standards/containers-and-packaging-standard_en-gb.pdf
Resource Transformation,Electrical & Electronic Equipment,https://d3flraxduht3gu.cloudfront.net/latest_standards/electrical-and-electronic-equipment-standard_en-gb.pdf
Resource Transformation,Industrial Machinery & Goods,https://d3flraxduht3gu.cloudfront.net/latest_standards/industrial-machinery-and-goods-standard_en-gb.pdf
Services,Advertising & Marketing,https://d3flraxduht3gu.cloudfront.net/latest_standards/advertising-and-marketing-standard_en-gb.pdf
Services,Casinos & Gaming,https://d3flraxduht3gu.cloudfront.net/latest_standards/casinos-and-gaming-standard_en-gb.pdf
Services,Education,https://d3flraxduht3gu.cloudfront.net/latest_standards/education-standard_en-gb.pdf
Services,Hotels & Lodging,https://d3flraxduht3gu.cloudfront.net/latest_standards/hotels-and-lodging-standard_en-gb.pdf
Services,Leisure Facilities,https://d3flraxduht3gu.cloudfront.net/latest_standards/leisure-facilities-standard_en-gb.pdf
Services,Media & Entertainment,https://d3flraxduht3gu.cloudfront.net/latest_standards/media-and-entertainment-standard_en-gb.pdf
Services,Professional & Commercial Services,https://d3flraxduht3gu.cloudfront.net/latest_standards/professional-and-commercial-services-standard_en-gb.pdf
Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing,https://d3flraxduht3gu.cloudfront.net/latest_standards/electronic-manufacturing-services-and-original-design-manufacturing-standard_en-gb.pdf
Technology & Communications,Hardware,https://d3flraxduht3gu.cloudfront.net/latest_standards/hardware-standard_en-gb.pdf
Technology & Communications,Internet Media & Services,https://d3flraxduht3gu.cloudfront.net/latest_standards/internet-media-and-services-standard_en-gb.pdf
Technology & Communications,Semiconductors,https://d3flraxduht3gu.cloudfront.net/latest_standards/semiconductors-standard_en-gb.pdf
Technology & Communications,Software & IT Services,https://d3flraxduht3gu.cloudfront.net/latest_standards/software-and-it-services-standard_en-gb.pdf
Technology & Communications,Telecommunication Services,https://d3flraxduht3gu.cloudfront.net/latest_standards/telecommunication-services-standard_en-gb.pdf
Transportation,Air Freight & Logistics,https://d3flraxduht3gu.cloudfront.net/latest_standards/air-freight-and-logistics-standard_en-gb.pdf
Transportation,Airlines,https://d3flraxduht3gu.cloudfront.net/latest_standards/airlines-standard_en-gb.pdf
Transportation,Auto Parts,https://d3flraxduht3gu.cloudfront.net/latest_standards/auto-parts-standard_en-gb.pdf
Transportation,Automobiles,https://d3flraxduht3gu.cloudfront.net/latest_standards/automobiles-standard_en-gb.pdf
Transportation,Car Rental & Leasing,https://d3flraxduht3gu.cloudfront.net/latest_standards/car-rental-and-leasing-standard_en-gb.pdf
Transportation,Cruise Lines,https://d3flraxduht3gu.cloudfront.net/latest_standards/cruise-lines-standard_en-gb.pdf
Transportation,Marine Transportation,https://d3flraxduht3gu.cloudfront.net/latest_standards/marine-transportation-standard_en-gb.pdf
Transportation,Rail Transportation,https://d3flraxduht3gu.cloudfront.net/latest_standards/rail-transportation-standard_en-gb.pdf
Transportation,Road Transportation,https://d3flraxduht3gu.cloudfront.net/latest_standards/road-transportation-standard_en-gb.pdf
