Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
Poya International Co Ltd,Consumer Goods,Multiline and Specialty Retailers & Distributors,Taiwan,CSR Report,2020,https://www.poya.com.tw/en/file/csr%202020.pdf,SASB
PPG Industries Inc,Resource Transformation,Chemicals,United States,ESG Report,2023,https://assets-us-01.kc-usercontent.com/2a927e0d-6649-001d-033d-d488bdff5f23/adda9052-ffbd-49e2-8da1-d6339fb2b59b/PPG-2023-ESG-REPORT.pdf,Google search
PPL Corporation,Infrastructure,Electric Utilities & Power Generators,United States,Sustainability Report,2023,https://www.pplweb.com/wp-content/uploads/2024/04/PPL_Corporation_2023-Sustainability-Report_FINAL.pdf,SASB
PQ Group Holdings Inc,Resource Transformation,Chemicals,United States,Corporate Responsibility Reports,2019,https://www.pqcorp.com/docs/default-source/general-documents/SASBIndex.pdf,SASB
"PRA Group, Inc.",Services,Professional & Commercial Services,United States,ESG Report,2021,https://www.pragroup.com/wp-content/uploads/2021/04/2021-PRA-Group-ESG-Report.pdf,SASB
PrairieSky Royalty Ltd,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Canada,Sustainability Report,2022,https://www.prairiesky.com/wp-content/uploads/2023/05/PRAIRIESKY-Sustainability-Report-WEB-1.pdf,SASB
Precision Drilling Corp,Extractives & Minerals Processing,Oil & Gas – Services,Canada,CSR Report,2021,https://s2.q4cdn.com/639056707/files/sustainability/crr/2021_Precision_Drilling_Corporate_Responsibility_Report.pdf,SASB
Preferred Apartment Communities Inc,Infrastructure,Real Estate,United States,CSR Report,2021,https://d1dhn91mufybwl.cloudfront.net/downloads/pdfs/zc82isfcjl/zc82isfcjl.pdf?v=1652736189,SASB
Premier Foods,Food & Beverage,Processed Foods,Britain,SASB Index,2022-2023,https://www.premierfoods.co.uk/CorporateSite/media/documents/sustainability/Premier-Foods_SASB-index-2022-23.pdf,SASB
Premier Inc,Health Care,Health Care Distributors,United States,Sustainability Report,2024,https://premierinc.com/downloads/2024-Sustainability-Report-FINAL.pdf,SASB
Premium Brands Holdings Corp,Food & Beverage,Processed Foods,Canada,SASB Index,2024,https://premiumbrandsholdings.com/pdf/ESG/PBHC-ESG-report-2024.pdf,SASB
President Securities Corp,Financials,Investment Banking & Brokerage,Taiwan,Sustainability Report,2023,https://www.pscnet.com.tw/upload/pscnet/file/20241223174101627817.pdf,Google search
Press metal aluminium holdings berhad,Extractives & Minerals Processing,Metals & Mining,Malaysia,Integrated Report,2023,https://www.pressmetal.com/pdf/PMetal-IAR2024.pdf,Google search
Prestige Brands Holdings Inc,Health Care,Biotechnology & Pharmaceuticals,United States,Sustainability Report,2024,https://www.prestigebrands.com/sites/prestigebrands/files/2024-12/PBH_AnnualESG_FY24%20Final.pdf,SASB
Prima AFP SA,Financials,Asset Management & Custody Activities,Peru,Memoria Integrada,2020,https://www.prima.com.pe/public-zone/files/2021/pdf/Memoria-Anual-2020.pdf,SASB
Primerica Life Insurance Company of Canada,Financials,Insurance,United States,CSR Report,2024,https://d1io3yog0oux5.cloudfront.net/_725a2a578c9719757eddd2e68b5359a5/primerica/db/2997/28461/pdf/FINAL+-+2024+Corporate+Sustainability+Report+%28SECURE%29.pdf,SASB
Primo Water Corp,Food & Beverage,Non-Alcoholic Beverages,United States,Sustainability Report,2023,https://primowatercorp.com/app/uploads/2024/09/Primo-2023-Sustainability-Report.pdf,SASB
Prince Housing & Development Corp,Infrastructure,Home Builders,Taiwan,Sustainability Report,2021,https://www.prince.com.tw/upload/csr/202292914561227.pdf,SASB
Principal,Financials,Insurance,United States,SASB Index,2022,https://app.one-report.com/report/SASB-index-xo.html?companyid=1087&year=2023&rid=MTc1NjE1Mzkz,SASB
PRIO SA/Brazil,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Brazil,Sustainability Report,2023,https://docs.publicnow.com/viewDoc.aspx?filename=117544%5CEXT%5C40F51C5D6B7E213DED66DD86CCDA41C1806E56E2_7EFAE71C8E5072C578BDE16671C667F67BBAE390.PDF,Google search
Procaps Group SA,Health Care,Biotechnology & Pharmaceuticals,Colombia,CSR Report,2022,https://www.procapsgroup.com/documents/pdf/procaps-esg-report-2022-2023-eng.aspx,DuckDuckGo
